2,8,32,128,512,2048,8192,
.0078,.0082,.0153,.0107,.0134,.0149,.0220,
.0084,.0087,.0087,.0091,.0123,.0148,.0262,
.0075,.0078,.0080,.0092,.0126,.0125,.0218,
.0077,.0068,.0086,.0086,.0128,.0131,.0221,
.0074,.0078,.0081,.0099,.0137,.0134,.0221,
.0078,.0082,.0078,.0098,.0127,.0159,.0229,
.0084,.0071,.0086,.0101,.0137,.0138,.0220,
